Index	TimeStamp      	ID        	Length    	Data1 	Data2 	Data3 	Data4 	Data5 	Data6 	Data7 	Data8 	Checksum    
1    	0           	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
2    	10.005      	08        	5           	08	03	01	08	08	00	ff	ff	DB        
3    	70.006      	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
4    	79.999      	08        	5           	07	03	01	02	07	00	ff	ff	E3        
5    	139.998     	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
6    	150.006     	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
7    	160.0       	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
8    	170.008     	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
9    	230.011     	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
10   	240.001     	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
11   	250.009     	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
12   	260.002     	08        	5           	01	03	01	01	01	00	ff	ff	F0        
13   	320.001     	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
14   	330.014     	08        	5           	08	03	01	08	08	00	ff	ff	DB        
15   	390.072     	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
16   	400.079     	08        	5           	07	03	01	02	07	00	ff	ff	E3        
17   	460.064     	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
18   	470.072     	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
19   	480.065     	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
20   	490.073     	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
21   	550.073     	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
22   	560.067     	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
23   	570.075     	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
24   	580.068     	08        	5           	01	03	01	01	01	00	ff	ff	F0        
25   	640.067     	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
26   	650.076     	08        	5           	08	03	01	08	08	00	ff	ff	DB        
27   	710.077     	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
28   	720.07      	08        	5           	07	03	01	02	07	00	ff	ff	E3        
29   	780.069     	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
30   	790.077     	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
31   	800.074     	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
32   	810.079     	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
33   	870.079     	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
34   	880.072     	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
35   	890.08      	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
36   	900.077     	08        	5           	01	03	01	01	01	00	ff	ff	F0        
37   	960.072     	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
38   	970.081     	08        	5           	08	03	01	08	08	00	ff	ff	DB        
39   	1030.086    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
40   	1040.075    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
